rom,title,year,manufacturer
m4madhse__h,Mad House (Barcrest) (MPU4) (set 9),199?,Barcrest
m4madhse__i,Mad House (Barcrest) (MPU4) (set 10),199?,Barcrest
m4madhse__j,Mad House (Barcrest) (MPU4) (set 11),199?,Barcrest
m4madhse__k,Mad House (Barcrest) (MPU4) (set 12),199?,Barcrest
m4madhse__l,Mad House (Barcrest) (MPU4) (set 13),199?,Barcrest
m4madhse__m,Mad House (Barcrest) (MPU4) (set 14),199?,Barcrest
m4madhse__n,Mad House (Barcrest) (MPU4) (set 15),199?,Barcrest
m4madhse__o,Mad House (Barcrest) (MPU4) (set 16),199?,Barcrest
m4madhse__p,Mad House (Barcrest) (MPU4) (set 17),199?,Barcrest
m4madhse__q,Mad House (Barcrest) (MPU4) (set 18),199?,Barcrest
m4madhse__r,Mad House (Barcrest) (MPU4) (set 19),199?,Barcrest
m4madhse__s,Mad House (Barcrest) (MPU4) (set 20),199?,Barcrest
m4madhse__t,Mad House (Barcrest) (MPU4) (set 21),199?,Barcrest
m4madhse__u,Mad House (Barcrest) (MPU4) (set 22),199?,Barcrest
m4madhse__v,Mad House (Barcrest) (MPU4) (set 23),199?,Barcrest
m4madhse__w,Mad House (Barcrest) (MPU4) (set 24),199?,Barcrest
m4madhse__x,Mad House (Barcrest) (MPU4) (set 25),199?,Barcrest
m4madhse__y,Mad House (Barcrest) (MPU4) (set 26),199?,Barcrest
m4madhse__z,Mad House (Barcrest) (MPU4) (set 27),199?,Barcrest
m4madmnc,Mad Money Classic (Bwb) (MPU4) (set 1),199?,Bwb
m4madmnc__a,Mad Money Classic (Bwb) (MPU4) (set 2),199?,Bwb
m4madmnc__b,Mad Money Classic (Bwb) (MPU4) (set 3),199?,Bwb
m4madmnc__c,Mad Money Classic (Bwb) (MPU4) (set 4),199?,Bwb
m4madmnc__d,Mad Money Classic (Bwb) (MPU4) (set 5),199?,Bwb
m4madmnc__e,Mad Money Classic (Bwb) (MPU4) (set 6),199?,Bwb
m4madmnc__f,Mad Money Classic (Bwb) (MPU4) (set 7),199?,Bwb
m4madmnc__g,Mad Money Classic (Bwb) (MPU4) (set 8),199?,Bwb
m4madmnc__h,Mad Money Classic (Bwb) (MPU4) (set 9),199?,Bwb
m4madmnc__i,Mad Money Classic (Bwb) (MPU4) (set 10),199?,Bwb
m4madmnc__j,Mad Money Classic (Bwb) (MPU4) (set 11),199?,Bwb
m4madmnc__k,Mad Money Classic (Bwb) (MPU4) (set 12),199?,Bwb
m4madmnc__l,Mad Money Classic (Bwb) (MPU4) (set 13),199?,Bwb
m4madmnc__m,Mad Money Classic (Bwb) (MPU4) (set 14),199?,Bwb
m4madmnc__n,Mad Money Classic (Bwb) (MPU4) (set 15),199?,Bwb
m4madmnc__o,Mad Money Classic (Bwb) (MPU4) (set 16),199?,Bwb
m4madmnc__p,Mad Money Classic (Bwb) (MPU4) (set 17),199?,Bwb
m4madmnc__q,Mad Money Classic (Bwb) (MPU4) (set 18),199?,Bwb
m4madmnc__r,Mad Money Classic (Bwb) (MPU4) (set 19),199?,Bwb
m4madmnc__s,Mad Money Classic (Bwb) (MPU4) (set 20),199?,Bwb
m4madmnc__t,Mad Money Classic (Bwb) (MPU4) (set 21),199?,Bwb
m4madmnc__u,Mad Money Classic (Bwb) (MPU4) (set 22),199?,Bwb
m4madmnc__v,Mad Money Classic (Bwb) (MPU4) (set 23),199?,Bwb
m4madmnc__w,Mad Money Classic (Bwb) (MPU4) (set 24),199?,Bwb
m4madmon,Mad Money (Bwb) (MPU4) (set 1),199?,Bwb
m4madmon__a,Mad Money (Bwb) (MPU4) (set 2),199?,Bwb
m4madmon__b,Mad Money (Bwb) (MPU4) (set 3),199?,Bwb
m4madmon__c,Mad Money (Bwb) (MPU4) (set 4),199?,Bwb
m4madmon__d,Mad Money (Bwb) (MPU4) (set 5),199?,Bwb
m4madmon__e,Mad Money (Bwb) (MPU4) (set 6),199?,Bwb
m4madmon__f,Mad Money (Bwb) (MPU4) (set 7),199?,Bwb
m4madmon__g,Mad Money (Bwb) (MPU4) (set 8),199?,Bwb
m4madmon__h,Mad Money (Bwb) (MPU4) (set 9),199?,Bwb
m4madmon__i,Mad Money (Bwb) (MPU4) (set 10),199?,Bwb
m4madmon__j,Mad Money (Bwb) (MPU4) (set 11),199?,Bwb
m4madmon__k,Mad Money (Bwb) (MPU4) (set 12),199?,Bwb
m4mag7s,Magnificent 7s (Barcrest) (MPU4) (set 1),199?,Barcrest
m4mag7s__0,Magnificent 7s (Barcrest) (MPU4) (set 28),199?,Barcrest
m4mag7s__1,Magnificent 7s (Barcrest) (MPU4) (set 29),199?,Barcrest
m4mag7s__2,Magnificent 7s (Barcrest) (MPU4) (set 30),199?,Barcrest
m4mag7s__3,Magnificent 7s (Barcrest) (MPU4) (set 31),199?,Barcrest
m4mag7s__4,Magnificent 7s (Barcrest) (MPU4) (set 32),199?,Barcrest
m4mag7s__5,Magnificent 7s (Barcrest) (MPU4) (set 33),199?,Barcrest
m4mag7s__6,Magnificent 7s (Barcrest) (MPU4) (set 34),199?,Barcrest
m4mag7s__7,Magnificent 7s (Barcrest) (MPU4) (set 35),199?,Barcrest
m4mag7s__8,Magnificent 7s (Barcrest) (MPU4) (set 36),199?,Barcrest
m4mag7s__9,Magnificent 7s (Barcrest) (MPU4) (set 37),199?,Barcrest
m4mag7s__a,Magnificent 7s (Barcrest) (MPU4) (set 2),199?,Barcrest
m4mag7s__aa,Magnificent 7s (Barcrest) (MPU4) (set 38),199?,Barcrest
m4mag7s__ab,Magnificent 7s (Barcrest) (MPU4) (set 39),199?,Barcrest
m4mag7s__ac,Magnificent 7s (Barcrest) (MPU4) (set 40),199?,Barcrest
m4mag7s__ad,Magnificent 7s (Barcrest) (MPU4) (set 41),199?,Barcrest
m4mag7s__ae,Magnificent 7s (Barcrest) (MPU4) (set 42),199?,Barcrest
m4mag7s__af,Magnificent 7s (Barcrest) (MPU4) (set 43),199?,Barcrest
m4mag7s__ag,Magnificent 7s (Barcrest) (MPU4) (set 44),199?,Barcrest
m4mag7s__ah,Magnificent 7s (Barcrest) (MPU4) (set 45),199?,Barcrest
m4mag7s__ai,Magnificent 7s (Barcrest) (MPU4) (set 46),199?,Barcrest
m4mag7s__aj,Magnificent 7s (Barcrest) (MPU4) (set 47),199?,Barcrest
m4mag7s__ak,Magnificent 7s (Barcrest) (MPU4) (set 48),199?,Barcrest
m4mag7s__al,Magnificent 7s (Barcrest) (MPU4) (set 49),199?,Barcrest
m4mag7s__am,Magnificent 7s (Barcrest) (MPU4) (set 50),199?,Barcrest
m4mag7s__an,Magnificent 7s (Barcrest) (MPU4) (set 51),199?,Barcrest
m4mag7s__ao,Magnificent 7s (Barcrest) (MPU4) (set 52),199?,Barcrest
m4mag7s__ap,Magnificent 7s (Barcrest) (MPU4) (set 53),199?,Barcrest
m4mag7s__aq,Magnificent 7s (Barcrest) (MPU4) (set 54),199?,Barcrest
m4mag7s__ar,Magnificent 7s (Barcrest) (MPU4) (set 55),199?,Barcrest
m4mag7s__as,Magnificent 7s (Barcrest) (MPU4) (set 56),199?,Barcrest
m4mag7s__at,Magnificent 7s (Barcrest) (MPU4) (set 57),199?,Barcrest
m4mag7s__au,Magnificent 7s (Barcrest) (MPU4) (set 58),199?,Barcrest
m4mag7s__av,Magnificent 7s (Barcrest) (MPU4) (set 59),199?,Barcrest
m4mag7s__aw,Magnificent 7s (Barcrest) (MPU4) (set 60),199?,Barcrest
m4mag7s__ax,Magnificent 7s (Barcrest) (MPU4) (set 61),199?,Barcrest
m4mag7s__b,Magnificent 7s (Barcrest) (MPU4) (set 3),199?,Barcrest
m4mag7s__c,Magnificent 7s (Barcrest) (MPU4) (set 4),199?,Barcrest
m4mag7s__d,Magnificent 7s (Barcrest) (MPU4) (set 5),199?,Barcrest
m4mag7s__e,Magnificent 7s (Barcrest) (MPU4) (set 6),199?,Barcrest
m4mag7s__f,Magnificent 7s (Barcrest) (MPU4) (set 7),199?,Barcrest
m4mag7s__g,Magnificent 7s (Barcrest) (MPU4) (set 8),199?,Barcrest
m4mag7s__h,Magnificent 7s (Barcrest) (MPU4) (set 9),199?,Barcrest
m4mag7s__i,Magnificent 7s (Barcrest) (MPU4) (set 10),199?,Barcrest
m4mag7s__j,Magnificent 7s (Barcrest) (MPU4) (set 11),199?,Barcrest
m4mag7s__k,Magnificent 7s (Barcrest) (MPU4) (set 12),199?,Barcrest
m4mag7s__l,Magnificent 7s (Barcrest) (MPU4) (set 13),199?,Barcrest
m4mag7s__m,Magnificent 7s (Barcrest) (MPU4) (set 14),199?,Barcrest
m4mag7s__n,Magnificent 7s (Barcrest) (MPU4) (set 15),199?,Barcrest
m4mag7s__o,Magnificent 7s (Barcrest) (MPU4) (set 16),199?,Barcrest
m4mag7s__p,Magnificent 7s (Barcrest) (MPU4) (set 17),199?,Barcrest
m4mag7s__q,Magnificent 7s (Barcrest) (MPU4) (set 18),199?,Barcrest
m4mag7s__r,Magnificent 7s (Barcrest) (MPU4) (set 19),199?,Barcrest
m4mag7s__s,Magnificent 7s (Barcrest) (MPU4) (set 20),199?,Barcrest
m4mag7s__t,Magnificent 7s (Barcrest) (MPU4) (set 21),199?,Barcrest
m4mag7s__u,Magnificent 7s (Barcrest) (MPU4) (set 22),199?,Barcrest
m4mag7s__v,Magnificent 7s (Barcrest) (MPU4) (set 23),199?,Barcrest
m4mag7s__w,Magnificent 7s (Barcrest) (MPU4) (set 24),199?,Barcrest
m4mag7s__x,Magnificent 7s (Barcrest) (MPU4) (set 25),199?,Barcrest
m4mag7s__y,Magnificent 7s (Barcrest) (MPU4) (set 26),199?,Barcrest
m4mag7s__z,Magnificent 7s (Barcrest) (MPU4) (set 27),199?,Barcrest
m4magdrg,Magic Dragon (Barcrest) (MPU4) (DMD1.0),199?,Barcrest
m4magi7,Magic 7's (Crystal) (MPU4) (set 1),199?,Crystal
m4magi7a,Magic 7's (Crystal) (MPU4) (set 2),199?,Crystal
m4maglin,Magic Liner (Barcrest) (MPU4) (DMA2.1),199?,Barcrest
m4magrep,Magic Replay (Barcrest) (Dutch) (MPU4),199?,Barcrest
m4magtbo,Magic Turbo (Barcrest) (MPU4),199?,Barcrest
m4makmnt,Make A Mint (Barcrest) (MPU4) (set 1),199?,Barcrest
m4makmnt__0,Make A Mint (Barcrest) (MPU4) (set 28),199?,Barcrest
m4makmnt__1,Make A Mint (Barcrest) (MPU4) (set 29),199?,Barcrest
m4makmnt__2,Make A Mint (Barcrest) (MPU4) (set 30),199?,Barcrest
m4makmnt__3,Make A Mint (Barcrest) (MPU4) (set 31),199?,Barcrest
m4makmnt__4,Make A Mint (Barcrest) (MPU4) (set 32),199?,Barcrest
m4makmnt__5,Make A Mint (Barcrest) (MPU4) (set 33),199?,Barcrest
m4makmnt__6,Make A Mint (Barcrest) (MPU4) (set 34),199?,Barcrest
m4makmnt__7,Make A Mint (Barcrest) (MPU4) (set 35),199?,Barcrest
m4makmnt__8,Make A Mint (Barcrest) (MPU4) (set 36),199?,Barcrest
m4makmnt__9,Make A Mint (Barcrest) (MPU4) (set 37),199?,Barcrest
m4makmnt__a,Make A Mint (Barcrest) (MPU4) (set 2),199?,Barcrest
m4makmnt__aa,Make A Mint (Barcrest) (MPU4) (set 38),199?,Barcrest
m4makmnt__ab,Make A Mint (Barcrest) (MPU4) (set 39),199?,Barcrest
m4makmnt__ac,Make A Mint (Barcrest) (MPU4) (set 40),199?,Barcrest
m4makmnt__ad,Make A Mint (Barcrest) (MPU4) (set 41),199?,Barcrest
m4makmnt__ae,Make A Mint (Barcrest) (MPU4) (set 42),199?,Barcrest
m4makmnt__af,Make A Mint (Barcrest) (MPU4) (set 43),199?,Barcrest
m4makmnt__ag,Make A Mint (Barcrest) (MPU4) (set 44),199?,Barcrest
m4makmnt__ah,Make A Mint (Barcrest) (MPU4) (set 45),199?,Barcrest
m4makmnt__ai,Make A Mint (Barcrest) (MPU4) (set 46),199?,Barcrest
m4makmnt__aj,Make A Mint (Barcrest) (MPU4) (set 47),199?,Barcrest
m4makmnt__ak,Make A Mint (Barcrest) (MPU4) (set 48),199?,Barcrest
m4makmnt__al,Make A Mint (Barcrest) (MPU4) (set 49),199?,Barcrest
m4makmnt__am,Make A Mint (Barcrest) (MPU4) (set 50),199?,Barcrest
m4makmnt__an,Make A Mint (Barcrest) (MPU4) (set 51),199?,Barcrest
m4makmnt__ao,Make A Mint (Barcrest) (MPU4) (set 52),199?,Barcrest
m4makmnt__ap,Make A Mint (Barcrest) (MPU4) (set 53),199?,Barcrest
m4makmnt__aq,Make A Mint (Barcrest) (MPU4) (set 54),199?,Barcrest
m4makmnt__ar,Make A Mint (Barcrest) (MPU4) (set 55),199?,Barcrest
m4makmnt__as,Make A Mint (Barcrest) (MPU4) (set 56),199?,Barcrest
m4makmnt__b,Make A Mint (Barcrest) (MPU4) (set 3),199?,Barcrest
m4makmnt__c,Make A Mint (Barcrest) (MPU4) (set 4),199?,Barcrest
m4makmnt__d,Make A Mint (Barcrest) (MPU4) (set 5),199?,Barcrest
m4makmnt__e,Make A Mint (Barcrest) (MPU4) (set 6),199?,Barcrest
m4makmnt__f,Make A Mint (Barcrest) (MPU4) (set 7),199?,Barcrest
m4makmnt__g,Make A Mint (Barcrest) (MPU4) (set 8),199?,Barcrest
m4makmnt__h,Make A Mint (Barcrest) (MPU4) (set 9),199?,Barcrest
m4makmnt__i,Make A Mint (Barcrest) (MPU4) (set 10),199?,Barcrest
m4makmnt__j,Make A Mint (Barcrest) (MPU4) (set 11),199?,Barcrest
m4makmnt__k,Make A Mint (Barcrest) (MPU4) (set 12),199?,Barcrest
m4makmnt__l,Make A Mint (Barcrest) (MPU4) (set 13),199?,Barcrest
m4makmnt__m,Make A Mint (Barcrest) (MPU4) (set 14),199?,Barcrest
m4makmnt__n,Make A Mint (Barcrest) (MPU4) (set 15),199?,Barcrest
m4makmnt__o,Make A Mint (Barcrest) (MPU4) (set 16),199?,Barcrest
m4makmnt__p,Make A Mint (Barcrest) (MPU4) (set 17),199?,Barcrest
m4makmnt__q,Make A Mint (Barcrest) (MPU4) (set 18),199?,Barcrest
m4makmnt__r,Make A Mint (Barcrest) (MPU4) (set 19),199?,Barcrest
m4makmnt__s,Make A Mint (Barcrest) (MPU4) (set 20),199?,Barcrest
m4makmnt__t,Make A Mint (Barcrest) (MPU4) (set 21),199?,Barcrest
m4makmnt__u,Make A Mint (Barcrest) (MPU4) (set 22),199?,Barcrest
m4makmnt__v,Make A Mint (Barcrest) (MPU4) (set 23),199?,Barcrest
m4makmnt__w,Make A Mint (Barcrest) (MPU4) (set 24),199?,Barcrest
m4makmnt__x,Make A Mint (Barcrest) (MPU4) (set 25),199?,Barcrest
m4makmnt__y,Make A Mint (Barcrest) (MPU4) (set 26),199?,Barcrest
m4makmnt__z,Make A Mint (Barcrest) (MPU4) (set 27),199?,Barcrest
m4matdr,Matador (unknown) (MPU4?),199?,<unknown>
m4maxmze,"Maximize (Union) (MPU4, set 1)",199?,Union
m4maxmzea,"Maximize (Union) (MPU4, set 2)",199?,Union
m4maxmzeb,"Maximize (Union) (MPU4, set 3)",199?,Union
m4maxmzec,"Maximize (Union) (MPU4, set 4)",199?,Union
m4maxmzed,"Maximize (Union) (MPU4, set 5)",199?,Union
m4mayhem,"Mayhem (Mdm) (MPU4, set 1)",199?,Mdm
m4mayhema,"Mayhem (Mdm) (MPU4, set 2)",199?,Mdm
m4mbel,Millennium Bells (Avantime?) (MPU4) (set 1),199?,Avantime?
m4mbel__0,Millennium Bells (Avantime?) (MPU4) (set 28),199?,Avantime?
m4mbel__1,Millennium Bells (Avantime?) (MPU4) (set 29),199?,Avantime?
m4mbel__2,Millennium Bells (Avantime?) (MPU4) (set 30),199?,Avantime?
m4mbel__3,Millennium Bells (Avantime?) (MPU4) (set 31),199?,Avantime?
m4mbel__4,Millennium Bells (Avantime?) (MPU4) (set 32),199?,Avantime?
m4mbel__5,Millennium Bells (Avantime?) (MPU4) (set 33),199?,Avantime?
m4mbel__6,Millennium Bells (Avantime?) (MPU4) (set 34),199?,Avantime?
m4mbel__7,Millennium Bells (Avantime?) (MPU4) (set 35),199?,Avantime?
m4mbel__8,Millennium Bells (Avantime?) (MPU4) (set 36),199?,Avantime?
m4mbel__9,Millennium Bells (Avantime?) (MPU4) (set 37),199?,Avantime?
m4mbel__a,Millennium Bells (Avantime?) (MPU4) (set 2),199?,Avantime?
m4mbel__a0,Millennium Bells (Avantime?) (MPU4) (set 64),199?,Avantime?
m4mbel__aa,Millennium Bells (Avantime?) (MPU4) (set 38),199?,Avantime?
m4mbel__ab,Millennium Bells (Avantime?) (MPU4) (set 39),199?,Avantime?
m4mbel__ac,Millennium Bells (Avantime?) (MPU4) (set 40),199?,Avantime?
m4mbel__ad,Millennium Bells (Avantime?) (MPU4) (set 41),199?,Avantime?
m4mbel__ae,Millennium Bells (Avantime?) (MPU4) (set 42),199?,Avantime?
m4mbel__af,Millennium Bells (Avantime?) (MPU4) (set 43),199?,Avantime?
m4mbel__ag,Millennium Bells (Avantime?) (MPU4) (set 44),199?,Avantime?
m4mbel__ah,Millennium Bells (Avantime?) (MPU4) (set 45),199?,Avantime?
m4mbel__ai,Millennium Bells (Avantime?) (MPU4) (set 46),199?,Avantime?
m4mbel__aj,Millennium Bells (Avantime?) (MPU4) (set 47),199?,Avantime?
m4mbel__ak,Millennium Bells (Avantime?) (MPU4) (set 48),199?,Avantime?
m4mbel__al,Millennium Bells (Avantime?) (MPU4) (set 49),199?,Avantime?
m4mbel__am,Millennium Bells (Avantime?) (MPU4) (set 50),199?,Avantime?
m4mbel__an,Millennium Bells (Avantime?) (MPU4) (set 51),199?,Avantime?
m4mbel__ao,Millennium Bells (Avantime?) (MPU4) (set 52),199?,Avantime?
m4mbel__ap,Millennium Bells (Avantime?) (MPU4) (set 53),199?,Avantime?
m4mbel__aq,Millennium Bells (Avantime?) (MPU4) (set 54),199?,Avantime?
m4mbel__ar,Millennium Bells (Avantime?) (MPU4) (set 55),199?,Avantime?
m4mbel__as,Millennium Bells (Avantime?) (MPU4) (set 56),199?,Avantime?
m4mbel__at,Millennium Bells (Avantime?) (MPU4) (set 57),199?,Avantime?
m4mbel__au,Millennium Bells (Avantime?) (MPU4) (set 58),199?,Avantime?
m4mbel__av,Millennium Bells (Avantime?) (MPU4) (set 59),199?,Avantime?
m4mbel__aw,Millennium Bells (Avantime?) (MPU4) (set 60),199?,Avantime?
m4mbel__ax,Millennium Bells (Avantime?) (MPU4) (set 61),199?,Avantime?
m4mbel__ay,Millennium Bells (Avantime?) (MPU4) (set 62),199?,Avantime?
m4mbel__az,Millennium Bells (Avantime?) (MPU4) (set 63),199?,Avantime?
m4mbel__b,Millennium Bells (Avantime?) (MPU4) (set 3),199?,Avantime?
m4mbel__c,Millennium Bells (Avantime?) (MPU4) (set 4),199?,Avantime?
m4mbel__d,Millennium Bells (Avantime?) (MPU4) (set 5),199?,Avantime?
m4mbel__e,Millennium Bells (Avantime?) (MPU4) (set 6),199?,Avantime?
m4mbel__f,Millennium Bells (Avantime?) (MPU4) (set 7),199?,Avantime?
m4mbel__g,Millennium Bells (Avantime?) (MPU4) (set 8),199?,Avantime?
m4mbel__h,Millennium Bells (Avantime?) (MPU4) (set 9),199?,Avantime?
m4mbel__i,Millennium Bells (Avantime?) (MPU4) (set 10),199?,Avantime?
m4mbel__j,Millennium Bells (Avantime?) (MPU4) (set 11),199?,Avantime?
m4mbel__k,Millennium Bells (Avantime?) (MPU4) (set 12),199?,Avantime?
m4mbel__m,Millennium Bells (Avantime?) (MPU4) (set 14),199?,Avantime?
m4mbel__n,Millennium Bells (Avantime?) (MPU4) (set 15),199?,Avantime?
m4mbel__o,Millennium Bells (Avantime?) (MPU4) (set 16),199?,Avantime?
m4mbel__p,Millennium Bells (Avantime?) (MPU4) (set 17),199?,Avantime?
m4mbel__q,Millennium Bells (Avantime?) (MPU4) (set 18),199?,Avantime?
m4mbel__r,Millennium Bells (Avantime?) (MPU4) (set 19),199?,Avantime?
m4mbel__s,Millennium Bells (Avantime?) (MPU4) (set 20),199?,Avantime?
m4mbel__t,Millennium Bells (Avantime?) (MPU4) (set 21),199?,Avantime?
m4mbel__u,Millennium Bells (Avantime?) (MPU4) (set 22),199?,Avantime?
m4mbel__v,Millennium Bells (Avantime?) (MPU4) (set 23),199?,Avantime?
m4mbel__w,Millennium Bells (Avantime?) (MPU4) (set 24),199?,Avantime?
m4mbel__x,Millennium Bells (Avantime?) (MPU4) (set 25),199?,Avantime?
m4mbel__y,Millennium Bells (Avantime?) (MPU4) (set 26),199?,Avantime?
m4mbel__z,Millennium Bells (Avantime?) (MPU4) (set 27),199?,Avantime?
m4mecca,Mecca Money (Union) (MPU4),199?,Union
m4megbks,Mega Bucks (Barcrest) (MPU4) (BUC 4.1X),199?,Barcrest
m4megbksa,Mega Bucks (Barcrest) (MPU4) (BUC 4.1CX),199?,Barcrest
m4megbksb,Mega Bucks (Barcrest) (MPU4) (BUC 4.1XD),199?,Barcrest
m4megbksc,Mega Bucks (Barcrest) (MPU4) (BUC 3.1),199?,Barcrest
m4meglnk,Megalink (Barcrest) (Dutch) (MPU4),199?,Barcrest
m4mgpn,Monaco Grand Prix (Nova) (MPU4),199?,Nova
m4milclb,Millionaire's Club (Barcrest) (MPU4) (set 1),199?,Barcrest
m4milclba,Millionaire's Club (Barcrest) (MPU4) (set 2),199?,Barcrest
m4milclbb,Millionaire's Club (Barcrest) (MPU4) (set 3),199?,Barcrest
m4milclbc,Millionaire's Club (Barcrest) (MPU4) (set 4),199?,Barcrest
m4milclbd,Millionaire's Club (Barcrest) (MPU4) (set 5),199?,Barcrest
m4milrou,Millennium Roulette (Avantime?) (MPU4) (set 1),199?,Avantime?
m4milrou__a,Millennium Roulette (Avantime?) (MPU4) (set 2),199?,Avantime?
m4mirage,Mirage (Barcrest) (MPU4) (RAG 4.1),199?,Barcrest
m4mjp,Mega Jackpot (Avantime?) (MPU4) (set 1),199?,Avantime?
m4mjp__a,Mega Jackpot (Avantime?) (MPU4) (set 2),199?,Avantime?
m4mjp__b,Mega Jackpot (Avantime?) (MPU4) (set 3),199?,Avantime?
m4mjp__c,Mega Jackpot (Avantime?) (MPU4) (set 4),199?,Avantime?
m4mjp__d,Mega Jackpot (Avantime?) (MPU4) (set 5),199?,Avantime?
m4mjp__e,Mega Jackpot (Avantime?) (MPU4) (set 6),199?,Avantime?
m4mjp__f,Mega Jackpot (Avantime?) (MPU4) (set 7),199?,Avantime?
m4mjp__g,Mega Jackpot (Avantime?) (MPU4) (set 8),199?,Avantime?
m4mmm,Money Mummy Money (Bwb) (MPU4) (set 1),199?,Bwb
m4mmm__a,Money Mummy Money (Bwb) (MPU4) (set 2),199?,Bwb
m4mmm__b,Money Mummy Money (Bwb) (MPU4) (set 3),199?,Bwb
m4mmm__c,Money Mummy Money (Bwb) (MPU4) (set 4),199?,Bwb
m4mmm__d,Money Mummy Money (Bwb) (MPU4) (set 5),199?,Bwb
m4mmm__e,Money Mummy Money (Bwb) (MPU4) (set 6),199?,Bwb
m4mmm__f,Money Mummy Money (Bwb) (MPU4) (set 7),199?,Bwb
m4moneym,Money Maker (Barcrest) (MPU4),199?,Barcrest
m4monspn,"Money Spinner (Empire) (MPU4, set 1)",199?,Empire
m4monspna,"Money Spinner (Empire) (MPU4, set 2)",199?,Empire
m4monspnb,"Money Spinner (Empire) (MPU4, set 3)",199?,Empire
m4monte,Monte Carlo (Barcrest) (MPU4) (set 1),199?,Barcrest
m4monte__a,Monte Carlo (Barcrest) (MPU4) (set 2),199?,Barcrest
m4monte__b,Monte Carlo (Barcrest) (MPU4) (set 3),199?,Barcrest
m4monte__c,Monte Carlo (Barcrest) (MPU4) (set 4),199?,Barcrest
m4monte__d,Monte Carlo (Barcrest) (MPU4) (set 5),199?,Barcrest
m4monte__e,Monte Carlo (Barcrest) (MPU4) (set 6),199?,Barcrest
m4monte__f,Monte Carlo (Barcrest) (MPU4) (set 7),199?,Barcrest
m4monte__g,Monte Carlo (Barcrest) (MPU4) (set 8),199?,Barcrest
m4monte__h,Monte Carlo (Barcrest) (MPU4) (set 9),199?,Barcrest
m4monte__i,Monte Carlo (Barcrest) (MPU4) (set 10),199?,Barcrest
m4monte__j,Monte Carlo (Barcrest) (MPU4) (set 11),199?,Barcrest
m4monte__k,Monte Carlo (Barcrest) (MPU4) (set 12),199?,Barcrest
m4monte__l,Monte Carlo (Barcrest) (MPU4) (set 13),199?,Barcrest
m4monte__m,Monte Carlo (Barcrest) (MPU4) (set 14),199?,Barcrest
m4montrl,Money Trail (Crystal) (MPU4) (set 1),199?,Crystal
m4montrla,Money Trail (Crystal) (MPU4) (set 2),199?,Crystal
m4montrlb,Money Trail (Crystal) (MPU4) (set 3),199?,Crystal
m4montrlc,Money Trail (Crystal) (MPU4) (set 4),199?,Crystal
m4montrld,Money Trail (Crystal) (MPU4) (set 5),199?,Crystal
m4multcl,"Multiplay Club (Barcrest) (MPU4, MP 2.8)",199?,Barcrest
m4multwy,Multiway (Barcrest) (Dutch) (MPU4),199?,Barcrest
m4mystiq,Mystique Club (Crystal) (MPU4) (set 1),199?,Crystal
m4mystiqa,Mystique Club (Crystal) (MPU4) (set 2),199?,Crystal
m4mystiqb,Mystique Club (Crystal) (MPU4) (set 3),199?,Crystal
m4mystiqc,Mystique Club (Crystal) (MPU4) (set 4),199?,Crystal
m4ndup,Nudge Double Up Deluxe (Crystal) (MPU4) (set 1),199?,Crystal
m4ndupa,Nudge Double Up Deluxe (Crystal) (MPU4) (set 2),199?,Crystal
m4ndupb,Nudge Double Up Deluxe (Crystal) (MPU4) (set 3),199?,Crystal
m4ndupc,Nudge Double Up Deluxe (Crystal) (MPU4) (set 4),199?,Crystal
m4nhtt,New Hit the Top (Barcrest) (MPU4) (set 1),199?,Barcrest
m4nhtt__a,New Hit the Top (Barcrest) (MPU4) (set 2),199?,Barcrest
m4nhtt__b,New Hit the Top (Barcrest) (MPU4) (set 3),199?,Barcrest
m4nhtt__c,New Hit the Top (Barcrest) (MPU4) (set 4),199?,Barcrest
m4nhtt__d,New Hit the Top (Barcrest) (MPU4) (set 5),199?,Barcrest
m4nhtt__e,New Hit the Top (Barcrest) (MPU4) (set 6),199?,Barcrest
m4nhtt__f,New Hit the Top (Barcrest) (MPU4) (set 7),199?,Barcrest
m4nhtt__g,New Hit the Top (Barcrest) (MPU4) (set 8),199?,Barcrest
m4nhtt__h,New Hit the Top (Barcrest) (MPU4) (set 9),199?,Barcrest
m4nhtt__i,New Hit the Top (Barcrest) (MPU4) (set 10),199?,Barcrest
m4nhtt__j,New Hit the Top (Barcrest) (MPU4) (set 11),199?,Barcrest
m4nick,Nickelodeon (Barcrest) (MPU4) (set 1),199?,Barcrest
m4nicka,Nickelodeon (Barcrest) (MPU4) (set 2),199?,Barcrest
m4nickb,Nickelodeon (Barcrest) (MPU4) (set 3),199?,Barcrest
m4nickc,Nickelodeon (Barcrest) (MPU4) (set 4),199?,Barcrest
m4nickd,Nickelodeon (Barcrest) (MPU4) (set 5),199?,Barcrest
m4nicke,Nickelodeon (Barcrest) (MPU4) (set 6),199?,Barcrest
m4nifty,Nifty Fifty (Barcrest) (MPU4) (NF 2.0),199?,Barcrest
m4niftya,"Nifty Fifty (Barcrest) (MPU4) (NF 2.1, set 1)",199?,Barcrest
m4niftyb,"Nifty Fifty (Barcrest) (MPU4) (NF 2.1, set 2)",199?,Barcrest
m4nile,Nile Jewels (Barcrest) (German) (MPU4) (GJN0.8),199?,Barcrest
m4nnww,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 1),199?,Barcrest
